mgmt_code,mgmt_name,short_name,former_name
AZ7,웨스트포트 인베스트먼트 주식회사,웨스트포트자문,
DB8,웰스가이드,웰스가이드,
AQ7,웰스투자자문,웰스자문,
DA7,위드보에셋(주),위드보에셋,
AY6,윈투자자문,윈자문,
A16,유니베스트투자자문,유니베스트자문,스틱자문
DA2,이랜드투자일임,이랜드자문,
D42,이루다투자일임(주),이루다자문,주식회사 아이로보투자자문
AF1,이룸투자자문(주),이룸자문,
D79,이언투자자문,이언자문,
DG0,이엔엘투자일임 주식회사,이엔엘자문,
DG4,이오파트너스,이오자문,
AZ9,이지투자자문,이지자문,
D70,이큐투자자문,이큐자문,
D38,인모스트투자자문 주식회사,인모스트자문,쉐마투자자문 주식회사
DA8,인사이트온,인사이트온,
A23,인피니티투자자문,인피니티자문,
D80,정동투자자문,정동자문,
AS5,제브라투자자문,제브라자문,
D81,제우스투자자문,제우스자문,
DD1,제이스투자자문,제이스자문,
AT2,제이에이치투자자문,제이에이치자문,
D86,제이유투자자문,제이유자문,미래서밋투자자문
D50,제이피모간투자자문코리아,제이피모간자문,
DF2,주식회사 넥스테라투자일임,넥스테라자문,
DF1,주식회사 니오파트너즈,니오파트너즈자문,
D11,주식회사 더드림투자자문,더드림자문,
AZ8,주식회사 더블유알,더블유알자문,
D12,주식회사 동성투자자문,동성자문,
D51,주식회사 씨케이인베스트먼트,씨케이인베스트먼트,
D08,주식회사 에임,에임자문,
D27,주식회사 엠오씨투자자문,엠오씨자문,
AY8,주식회사 윈베스트투자자문,윈베스트자문,
DF5,주식회사 인테그랄투자일임,인테그랄자문,
DG5,주식회사 주엘파트너스,주엘파트너스자문,
D52,주식회사 한국더블유엠 투자자문,한국더블유엠자문,
AJ4,참투자자문(주),참자문,
AQ9,창조투자자문,창조자문,
D14,청개구리투자자문,청개구리자문,주식회사 코스넷투자자문
B01,카라투자자문(주),카라자문,
AR0,카이투자자문,카이자문,
AT8,캐슬링인베스트먼트투자자문,캐슬링자문,
D16,캣츠투자자문,캣츠자문,
AM8,케미칼에너지투자자문,케미칼에너지자문,
DE9,케이에스엘 파트너스 주식회사케이에스엘 파트너스 주식회사,케이에스엘자문,
A62,케이원투자자문,케이원자문,
AR2,케이피아이투자자문,케이피아이자문,
D60,코어밸류인베스트먼트,코어밸류자문,
D19,콴텍투자일임,콴텍일임,㈜코어트렌드인베스트먼트
D97,콴텍투자자문,콴텍자문,
A67,퀀트와이즈투자자문,퀀트와이즈자문,
D98,타이거앤리 투자자문(주),타이거앤리자문,
AN8,타임앤스프레드투자자문,타임앤스프레드자문,
D89,타키온투자자문,타키온자문,
AS6,텍톤투자자문,텍톤자문,
A30,템피스투자자문,템피스자문,
A31,토러스투자자문,토러스자문,
351,토마토투자자문,토마토자문,
DG6,토브에메트㈜,토브에메트자문,
D55,투게더윈투자자문주식회사,투게더윈자문,
AS7,투핸즈투자자문,투핸즈자문,
DA9,트라이앵글 투자일임,트라이앵글일임,
D30,트로이투자자문,트로이자문,
AR4,티알에스투자자문,티알에스자문,
D90,티엑스인베스트(주),티엑스자문,
AM9,파베르투자자문(주),파베르자문,
D05,파운트 투자자문,파운트자문,
D63,파이브투자자문,파이브자문,
