rcept_no,부,부제목,절번호,절제목,본문시작행,찾음
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,2723,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,2746,O
20260911000056,5,제5부 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,2749,O
20260911000063,1,제1부 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,416,O
20260911000063,1,제1부 모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,420,O
20260911000063,1,제1부 모집 또는 매출에 관한 사항,3,모집예정금액,432,O
20260911000063,1,제1부 모집 또는 매출에 관한 사항,4,모집기간 및 모집장소,437,O
20260911000063,1,제1부 모집 또는 매출에 관한 사항,5,인수에 관한 사항,444,O
20260911000063,1,제1부 모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,447,O
20260911000063,2,제2부 집합투자기구에 관한 사항,1,집합투자기구의 명칭,518,O
20260911000063,2,제2부 집합투자기구에 관한 사항,2,집합투자기구의 연혁,523,O
20260911000063,2,제2부 집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,533,O
20260911000063,2,제2부 집합투자기구에 관한 사항,4,집합투자업자,539,O
20260911000063,2,제2부 집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,551,O
20260911000063,2,제2부 집합투자기구에 관한 사항,6,집합투자기구의 구조,594,O
20260911000063,2,제2부 집합투자기구에 관한 사항,7,집합투자기구의 투자목적,622,O
20260911000063,2,제2부 집합투자기구에 관한 사항,8,집합투자기구의 투자대상,629,O
20260911000063,2,제2부 집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 위험관리 및 수익구조",839,O
20260911000063,2,제2부 집합투자기구에 관한 사항,10,집합투자기구의 투자위험,994,O
20260911000063,2,제2부 집합투자기구에 관한 사항,11,"매입, 환매 및 전환 기준",1283,O
20260911000063,2,제2부 집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1584,O
20260911000063,2,제2부 집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1679,O
20260911000063,2,제2부 집합투자기구에 관한 사항,14,이익배분 및 과세에 관한 사항,1776,O
20260911000063,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,1900,O
20260911000063,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매현황,1976,O
20260911000063,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2001,O
20260911000063,4,제4부 집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,2096,O
20260911000063,4,제4부 집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,2176,O
20260911000063,4,제4부 집합투자기구 관련회사에 관한 사항,3,기타 집합투자기구 관련회사에 관한 사항,2186,O
20260911000063,5,제5부 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,2283,O
20260911000063,5,제5부 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,2400,O
20260911000063,5,제5부 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,2418,O
20260911000063,5,제5부 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,2517,O
20260911000063,5,제5부 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,2540,O
20260911000063,5,제5부 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,2543,O
20260911000067,1,제1부 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,535,O
20260911000067,1,제1부 모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,552,O
20260911000067,1,제1부 모집 또는 매출에 관한 사항,3,모집예정금액,567,O
20260911000067,1,제1부 모집 또는 매출에 관한 사항,4,모집의 내용 및 절차,574,O
20260911000067,1,제1부 모집 또는 매출에 관한 사항,5,인수에 관한 사항,581,O
20260911000067,1,제1부 모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,587,O
20260911000067,2,제2부 집합투자기구에 관한 사항,1,집합투자기구의 명칭,596,O
20260911000067,2,제2부 집합투자기구에 관한 사항,2,집합투자기구의 연혁,627,O
20260911000067,2,제2부 집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,647,O
20260911000067,2,제2부 집합투자기구에 관한 사항,4,집합투자업자,657,O
20260911000067,2,제2부 집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,669,O
20260911000067,2,제2부 집합투자기구에 관한 사항,6,집합투자기구의 구조,767,O
20260911000067,2,제2부 집합투자기구에 관한 사항,7,집합투자기구의 투자목적,922,O
20260911000067,2,제2부 집합투자기구에 관한 사항,8,집합투자기구의 투자대상,929,O
20260911000067,2,제2부 집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 위험관리 및 수익구조",1211,O
20260911000067,2,제2부 집합투자기구에 관한 사항,10,집합투자기구의 투자위험,1312,O
20260911000067,2,제2부 집합투자기구에 관한 사항,11,"매입, 환매 및 전환 기준",1511,O
20260911000067,2,제2부 집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1665,O
20260911000067,2,제2부 집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1758,O
20260911000067,2,제2부 집합투자기구에 관한 사항,14,이익배분 및 과세에 관한 사항,2016,O
20260911000067,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,2192,O
20260911000067,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매현황,2281,O
20260911000067,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2375,O
