rcept_no,부,부제목,절번호,절제목,본문시작행,찾음
20260911000448,1,제1부 모집 또는 매출에 관한 사항,3,모집예정금액,407,O
20260911000448,1,제1부 모집 또는 매출에 관한 사항,4,모집의 내용 및 절차,414,O
20260911000448,1,제1부 모집 또는 매출에 관한 사항,5,인수에 관한 사항,421,O
20260911000448,1,제1부 모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,424,O
20260911000448,2,제2부 집합투자기구에 관한 사항,1,집합투자기구의 명칭,433,O
20260911000448,2,제2부 집합투자기구에 관한 사항,2,집합투자기구의 연혁,450,O
20260911000448,2,제2부 집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,456,O
20260911000448,2,제2부 집합투자기구에 관한 사항,4,집합투자업자,462,O
20260911000448,2,제2부 집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,474,O
20260911000448,2,제2부 집합투자기구에 관한 사항,6,집합투자기구의 구조,519,O
20260911000448,2,제2부 집합투자기구에 관한 사항,7,집합투자기구의 투자목적,592,O
20260911000448,2,제2부 집합투자기구에 관한 사항,8,집합투자기구의 투자대상,602,O
20260911000448,2,제2부 집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 위험관리 및 수익구조",820,O
20260911000448,2,제2부 집합투자기구에 관한 사항,10,집합투자기구의 투자위험,879,O
20260911000448,2,제2부 집합투자기구에 관한 사항,11,"매입, 환매 및 전환 기준",1067,O
20260911000448,2,제2부 집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1198,O
20260911000448,2,제2부 집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1293,O
20260911000448,2,제2부 집합투자기구에 관한 사항,14,이익배분 및 과세에 관한 사항,1463,O
20260911000448,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,1537,O
20260911000448,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매현황,1539,O
20260911000448,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,1541,O
20260911000448,4,제4부 집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,1553,O
20260911000448,4,제4부 집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,1633,O
20260911000448,4,제4부 집합투자기구 관련회사에 관한 사항,3,기타 집합투자기구 관련회사에 관한 사항,1643,O
20260911000448,5,제5부 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,1740,O
20260911000448,5,제5부 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,1865,O
20260911000448,5,제5부 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,1883,O
20260911000448,5,제5부 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,2044,O
20260911000448,5,제5부 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,2065,O
20260911000448,5,제5부 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,2096,O
